timestamp,accX,accY,accZ
168857013,-0.24,0.51,0.83
168858979,-0.25,0.50,0.82
168860982,-0.25,0.50,0.82
168863046,-0.25,0.50,0.82
168865022,-0.25,0.50,0.82
168867005,-0.25,0.50,0.82
168868970,-0.25,0.49,0.81
168870980,-0.25,0.49,0.81
168873018,-0.25,0.49,0.81
168874971,-0.25,0.49,0.81
168876975,-0.25,0.49,0.81
168878974,-0.25,0.48,0.79
168881047,-0.25,0.48,0.79
168883029,-0.25,0.48,0.79
168885014,-0.25,0.48,0.79
168887022,-0.25,0.48,0.79
168889071,-0.25,0.46,0.79
168891054,-0.25,0.46,0.79
168893017,-0.25,0.46,0.79
168895018,-0.25,0.46,0.79
168897013,-0.25,0.46,0.79
168898975,-0.25,0.46,0.79
168900995,-0.24,0.47,0.83
168903044,-0.24,0.47,0.83
168905001,-0.24,0.47,0.83
168906987,-0.24,0.47,0.83
168908975,-0.24,0.47,0.83
168910970,-0.24,0.49,0.87
168912970,-0.24,0.49,0.87
168915096,-0.24,0.49,0.87
168917021,-0.24,0.49,0.87
168918975,-0.24,0.49,0.87
168921027,-0.24,0.50,0.87
168923014,-0.24,0.50,0.87
168925013,-0.24,0.50,0.87
168927019,-0.24,0.50,0.87
168929088,-0.24,0.50,0.87
168931022,-0.25,0.48,0.85
168933014,-0.25,0.48,0.85
168935012,-0.25,0.48,0.85
168937018,-0.25,0.48,0.85
168939047,-0.25,0.48,0.85
168941008,-0.25,0.46,0.84
